Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
multicolour-beanies,,,,,,,,,3-6 mths,,Mia,,,H100-0306-18,0.0,shopify,2,deny,manual,39.95,,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/kids-multi-colour-beanie-noah.jpg?v=1668750198,6,kids multi colour beanie noah,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/mia-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,3-6 mths,,Frankie,,,H100-0306-19,0.0,shopify,2,deny,manual,39.95,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/kids-multi-colour-beanie-mia.jpg?v=1668750198,7,kids multi colour beanie mia,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/frankie-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,3-6 mths,,Storm,,,H100-0306-20,0.0,shopify,2,deny,manual,39.95,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/kids-multi-colour-beanie-frankie.jpg?v=1668750198,8,kids multi colour beanie frankie,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/storm-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,6-12 mths,,Noah,,,H100-0612-17,0.0,shopify,2,deny,manual,39.95,,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/kids-multi-colour-beanie-storm.jpg?v=1668750198,9,kids multi colour beanie storm,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/noah-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,6-12 mths,,Mia,,,H100-0612-18,0.0,shopify,2,deny,manual,39.95,,true,true,,https://cdn.shopify.com/s/files/1/2115/6269/products/cardigan-and-noah-multicolour-beanie.jpg?v=1668750198,10,Cardigan and Noah multicolour beanie,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/mia-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,6-12 mths,,Frankie,,,H100-0612-19,0.0,shopify,2,deny,manual,39.95,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/colour-range-multicolour-beanies.jpg?v=1668750198,11,Colour range multicolour beanies,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/frankie-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,6-12 mths,,Storm,,,H100-0612-20,0.0,shopify,2,deny,manual,39.95,,true,true,"",https://cdn.shopify.com/s/files/1/2115/6269/products/set-of-multicolour-beanies.jpg?v=1668750198,12,Set of multicolour beanies,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/storm-multicolour-beanie.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,1-4 yrs,,Noah,,,H100-1224-17,0.0,shopify,1,deny,manual,42.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/kids-multi-colour-beanie-noah.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,1-4 yrs,,Mia,,,H100-1224-18,0.0,shopify,1,deny,manual,42.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/kids-multi-colour-beanie-mia.jpg?v=1668750198,kg,,,,,
multicolour-beanies,,,,,,,,,1-4 yrs,,Frankie,,,H100-1224-19,0.0,shopify,1,deny,manual,42.00,,true,true,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2115/6269/products/kids-multi-colour-beanie-frankie.jpg?v=1668750198,kg,,,,,
